market_id,event_id,event_title,event_sub_title,description,yes_ask,yes_bid,no_ask,no_bid,close_time,expiration,series_id,tag
kxatpchallengermatch-26mar26mrvcop-mrv,kxatpchallengermatch-26mar26mrvcop,will maxim mrva win the mrva vs coppejans : round of 16 match?,,"if maxim mrva wins the mrva vs coppejans professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the mrva vs coppejans professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9600,0.0400,0.9600,0.0400,2026-04-09,2026-04-09,kxatpchallengermatch,sports
kxatpchallengermatch-26mar26mrvcop-cop,kxatpchallengermatch-26mar26mrvcop,will kimmer coppejans win the mrva vs coppejans : round of 16 match?,,"if kimmer coppejans wins the mrva vs coppejans professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the mrva vs coppejans professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9600,0.0400,0.9600,0.0400,2026-04-09,2026-04-09,kxatpchallengermatch,sports
kxatpchallengermatch-26mar26couvas-vas,kxatpchallengermatch-26mar26couvas,will alexander vasilev win the coulibaly vs vasilev : round of 16 match?,,"if alexander vasilev wins the coulibaly vs vasilev professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the coulibaly vs vasilev professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9600,0.0400,0.9600,0.0400,2026-04-09,2026-04-09,kxatpchallengermatch,sports
kxatpchallengermatch-26mar26couvas-cou,kxatpchallengermatch-26mar26couvas,will eliakim coulibaly win the coulibaly vs vasilev : round of 16 match?,,"if eliakim coulibaly wins the coulibaly vs vasilev professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the coulibaly vs vasilev professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9600,0.0400,0.9600,0.0400,2026-04-09,2026-04-09,kxatpchallengermatch,sports
kxatpchallengermatch-26mar26genrom-rom,kxatpchallengermatch-26mar26genrom,will filippo romano win the gentzsch vs romano : round of 16 match?,,"if filippo romano wins the gentzsch vs romano professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the gentzsch vs romano professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9600,0.0400,0.9600,0.0400,2026-04-09,2026-04-09,kxatpchallengermatch,sports
kxatpchallengermatch-26mar26genrom-gen,kxatpchallengermatch-26mar26genrom,will tom gentzsch win the gentzsch vs romano : round of 16 match?,,"if tom gentzsch wins the gentzsch vs romano professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the gentzsch vs romano professional tennis match in the 2026 atp challenger split round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9600,0.0400,0.9600,0.0400,2026-04-09,2026-04-09,kxatpchallengermatch,sports
kxwtachallengermatch-26mar26kalbra-kal,kxwtachallengermatch-26mar26kalbra,will anhelina kalinina win the kalinina vs brancaccio : round of 16 match?,,"if anhelina kalinina wins the kalinina vs brancaccio professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the kalinina vs brancaccio professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9400,0.0600,0.9400,0.0600,2026-04-09,2026-04-09,kxwtachallengermatch,sports
kxwtachallengermatch-26mar26kalbra-bra,kxwtachallengermatch-26mar26kalbra,will nuria brancaccio win the kalinina vs brancaccio : round of 16 match?,,"if nuria brancaccio wins the kalinina vs brancaccio professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the kalinina vs brancaccio professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9400,0.0600,0.9400,0.0600,2026-04-09,2026-04-09,kxwtachallengermatch,sports
kxwtachallengermatch-26mar26herkor-kor,kxwtachallengermatch-26mar26herkor,will tamara korpatsch win the hercog vs korpatsch : round of 16 match?,,"if tamara korpatsch wins the hercog vs korpatsch professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the hercog vs korpatsch professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9400,0.0600,0.9400,0.0600,2026-04-09,2026-04-09,kxwtachallengermatch,sports
kxwtachallengermatch-26mar26herkor-her,kxwtachallengermatch-26mar26herkor,will polona hercog win the hercog vs korpatsch : round of 16 match?,,"if polona hercog wins the hercog vs korpatsch professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played, then the market resolves to yes.the following market refers to the hercog vs korpatsch professional tennis match in the 2026 wta 125k dubrovnik round of 16 after a ball has been played. if the match does not occur (signaled by a ball being played) due to a player injury, walkover, forfeiture, or any other cancellation (all before the match starts), the market will resolve to a fair price in accordance with the rules. if this match is postponed or delayed, the market will remain open and close after the rescheduled match has finished (within two weeks).",0.9400,0.0600,0.9400,0.0600,2026-04-09,2026-04-09,kxwtachallengermatch,sports
